SiO2 Na2O CaO Al2O3 B2O3 MgO PbO P2O5 Li2O K2O TiO2 BaO ZnO
54.2 0.0 0.0 0.0 0.0 0.0 42.6 0.0 0.0 0.0 0.0 0.0 3.19
51.57 0.0 0.0 0.0 0.0 0.0 37.76 0.0 0.0 0.0 0.0 0.0 10.66
54.95 0.0 0.0 0.0 0.0 0.0 43.78 0.0 0.0 0.0 0.0 0.0 0.0
54.57 0.0 0.0 0.0 0.0 0.0 42.9 0.0 0.0 0.0 0.0 0.0 0.0
55.17 0.0 0.0 0.0 0.0 0.0 43.96 0.0 0.0 0.0 0.0 0.86 0.0
55.03 0.0 0.0 0.0 0.0 0.0 43.25 0.0 0.0 0.0 0.0 1.72 0.0
54.58 0.0 0.0 0.0 0.0 0.0 41.14 0.0 0.0 0.0 0.0 4.28 0.0
54.29 0.0 0.0 0.0 0.0 0.0 39.75 0.0 0.0 0.0 0.0 5.95 0.0
57.43 10.86 0.0 0.0 0.0 0.0 12.06 0.0 0.0 0.0 0.0 0.0 19.65
66.67 33.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
50.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.13 14.29 7.1 1.09 0.0 6.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.83 14.6 6.89 1.91 0.0 5.35 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.22 14.19 6.89 1.1 0.0 6.19 0.0 0.0 0.0 0.0 0.0 0.0 0.0
40.0 0.0 36.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
85.49 4.47 0.0 1.2 8.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.23 0.0 0.0 0.0 0.0 0.0 28.77 0.0 0.0 0.0 0.0 0.0 0.0
66.67 0.0 0.0 0.0 0.0 0.0 33.33 0.0 0.0 0.0 0.0 0.0 0.0
61.42 0.0 0.0 0.0 0.0 0.0 38.58 0.0 0.0 0.0 0.0 0.0 0.0
55.32 0.0 0.0 0.0 0.0 0.0 44.68 0.0 0.0 0.0 0.0 0.0 0.0
48.15 0.0 0.0 0.0 0.0 0.0 51.85 0.0 0.0 0.0 0.0 0.0 0.0
39.59 0.0 0.0 0.0 0.0 0.0 60.41 0.0 0.0 0.0 0.0 0.0 0.0
29.21 0.0 0.0 0.0 0.0 0.0 70.79 0.0 0.0 0.0 0.0 0.0 0.0
50.0 0.0 25.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
49.92 0.0 24.95 0.0 0.0 24.95 0.0 0.0 0.0 0.0 0.0 0.0 0.0
48.54 0.0 24.27 0.0 0.0 24.27 0.0 0.0 0.0 0.0 2.91 0.0 0.0
48.47 0.0 24.23 0.0 0.0 24.23 0.0 0.0 0.0 0.0 2.9 0.0 0.0
47.73 0.0 23.87 0.0 0.0 23.87 0.0 0.0 0.0 0.0 4.53 0.0 0.0
47.64 0.0 23.83 0.0 0.0 23.83 0.0 0.0 0.0 0.0 4.53 0.0 0.0
46.44 0.0 23.22 0.0 0.0 23.22 0.0 0.0 0.0 0.0 6.96 0.0 0.0
45.71 0.0 22.86 0.0 0.0 22.86 0.0 0.0 0.0 0.0 8.57 0.0 0.0
45.69 0.0 22.85 0.0 0.0 22.85 0.0 0.0 0.0 0.0 8.57 0.0 0.0
45.67 0.0 22.83 0.0 0.0 22.83 0.0 0.0 0.0 0.0 8.56 0.0 0.0
