SiO2 Al2O3 CaO Na2O MgO B2O3 Li2O GeO2 K2O P2O5 BaO
48.78 0.0 0.0 26.83 0.0 24.39 0.0 0.0 0.0 0.0 0.0
51.28 0.0 0.0 23.08 0.0 25.64 0.0 0.0 0.0 0.0 0.0
54.05 0.0 0.0 18.92 0.0 27.03 0.0 0.0 0.0 0.0 0.0
54.79 0.0 0.0 17.81 0.0 27.4 0.0 0.0 0.0 0.0 0.0
56.34 0.0 0.0 15.49 0.0 28.17 0.0 0.0 0.0 0.0 0.0
57.14 0.0 0.0 14.29 0.0 28.57 0.0 0.0 0.0 0.0 0.0
57.97 0.0 0.0 13.04 0.0 28.99 0.0 0.0 0.0 0.0 0.0
58.82 0.0 0.0 11.76 0.0 29.41 0.0 0.0 0.0 0.0 0.0
60.61 0.0 0.0 9.09 0.0 30.3 0.0 0.0 0.0 0.0 0.0
30.3 0.0 0.0 39.39 0.0 30.3 0.0 0.0 0.0 0.0 0.0
31.25 0.0 0.0 37.5 0.0 31.25 0.0 0.0 0.0 0.0 0.0
33.33 0.0 0.0 33.33 0.0 33.33 0.0 0.0 0.0 0.0 0.0
34.48 0.0 0.0 31.03 0.0 34.48 0.0 0.0 0.0 0.0 0.0
38.46 0.0 0.0 23.08 0.0 38.46 0.0 0.0 0.0 0.0 0.0
42.55 0.0 0.0 14.89 0.0 42.55 0.0 0.0 0.0 0.0 0.0
43.48 0.0 0.0 13.04 0.0 43.48 0.0 0.0 0.0 0.0 0.0
79.0 6.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
77.0 8.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
75.0 10.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
70.0 5.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0
70.0 7.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0
70.0 13.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0
70.0 15.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
69.0 16.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
69.0 20.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0
67.0 18.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
66.0 9.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0
65.0 2.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0
65.0 4.0 0.0 0.0 0.0 0.0 31.0 0.0 0.0 0.0 0.0
65.0 6.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0
65.0 8.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 0.0
65.0 10.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0
65.0 12.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 0.0
65.0 14.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 0.0
65.0 16.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0
65.0 17.5 0.0 0.0 0.0 0.0 17.5 0.0 0.0 0.0 0.0
